PID,task_no,bug,condition,correct,duration_min,n_navigation,n_files_opened,opened_files
P1,1,math33,control,N,25.1567,50,5,/src/main/java/org/apache/commons/math3/optimization/linear/AbstractLinearOptimizer.java|/src/main/java/org/apache/commons/math3/optimization/linear/SimplexSolver.java|/src/main/java/org/apache/commons/math3/optimization/linear/SimplexTableau.java|/src/main/java/org/apache/commons/math3/util/Precision.java|/src/test/java/org/apache/commons/math3/optimization/linear/SimplexSolverTest.java
P1,2,math50,correct,N,18.0467,23,7,/src/main/java/org/apache/commons/math/analysis/solvers/AbstractDifferentiableUnivariateRealSolver.java|/src/main/java/org/apache/commons/math/analysis/solvers/BaseAbstractUnivariateRealSolver.java|/src/main/java/org/apache/commons/math/analysis/solvers/BaseSecantSolver.java|/src/main/java/org/apache/commons/math/analysis/solvers/UnivariateRealSolverUtils.java|/src/main/java/org/apache/commons/math/exception/TooManyEvaluationsException.java|/src/main/java/org/apache/commons/math/util/Incrementor.java|/src/test/java/org/apache/commons/math/analysis/solvers/RegulaFalsiSolverTest.java
P1,3,math63,overfitting,N,1.6683,2,2,/src/main/java/org/apache/commons/math/util/MathUtils.java|/src/test/java/org/apache/commons/math/util/MathUtilsTest.java
P2,1,math50,control,N,25.4133,6,6,/src/main/java/org/apache/commons/math/analysis/UnivariateRealFunction.java|/src/main/java/org/apache/commons/math/analysis/function/Asin.java|/src/main/java/org/apache/commons/math/analysis/solvers/RegulaFalsiSolver.java|/src/main/java/org/apache/commons/math/analysis/solvers/UnivariateRealSolver.java|/src/main/java/org/apache/commons/math/exception/MathUserException.java|/src/test/java/org/apache/commons/math/analysis/solvers/RegulaFalsiSolverTest.java
P2,2,chart12,overfitting,N,25.38,18,7,/source/org/jfree/chart/plot/MultiplePiePlot.java|/source/org/jfree/chart/plot/dial/AbstractDialLayer.java|/source/org/jfree/data/category/DefaultCategoryDataset.java|/source/org/jfree/data/general/AbstractDataset.java|/tests/org/jfree/chart/plot/junit/CategoryPlotTests.java|/tests/org/jfree/chart/plot/junit/MultiplePiePlotTests.java|/tests/org/jfree/chart/plot/junit/XYPlotTests.java
P2,3,lang10,correct,N,20.165,8,2,/src/main/java/org/apache/commons/lang3/time/FastDateParser.java|/src/test/java/org/apache/commons/lang3/time/FastDateParserTest.java
P3,1,chart12,overfitting,Y,23.86,14,8,/source/org/jfree/chart/plot/MultiplePiePlot.java|/source/org/jfree/chart/plot/PolarPlot.java|/source/org/jfree/data/Values2D.java|/source/org/jfree/data/category/DefaultCategoryDataset.java|/source/org/jfree/data/general/AbstractDataset.java|/tests/org/jfree/chart/plot/junit/CategoryPlotTests.java|/tests/org/jfree/chart/plot/junit/MeterPlotTests.java|/tests/org/jfree/chart/plot/junit/MultiplePiePlotTests.java
P3,2,math50,control,N,25.1883,29,8,/src/main/java/org/apache/commons/math/analysis/solvers/AbstractUnivariateRealSolver.java|/src/main/java/org/apache/commons/math/analysis/solvers/BaseAbstractUnivariateRealSolver.java|/src/main/java/org/apache/commons/math/analysis/solvers/BaseSecantSolver.java|/src/main/java/org/apache/commons/math/analysis/solvers/BaseUnivariateRealSolver.java|/src/main/java/org/apache/commons/math/analysis/solvers/NewtonSolver.java|/src/main/java/org/apache/commons/math/analysis/solvers/RegulaFalsiSolver.java|/src/main/java/org/apache/commons/math/util/Incrementor.java|/src/test/java/org/apache/commons/math/analysis/solvers/RegulaFalsiSolverTest.java
P3,3,math63,correct,Y,18.9917,20,3,/src/main/java/org/apache/commons/math/util/FastMath.java|/src/main/java/org/apache/commons/math/util/MathUtils.java|/src/test/java/org/apache/commons/math/util/MathUtilsTest.java
P4,1,math63,overfitting,Y,15.5267,9,2,/src/main/java/org/apache/commons/math/util/MathUtils.java|/src/test/java/org/apache/commons/math/util/MathUtilsTest.java
P4,2,chart12,correct,Y,13.1083,8,6,/source/org/jfree/chart/plot/MultiplePiePlot.java|/source/org/jfree/data/category/CategoryDataset.java|/source/org/jfree/data/general/AbstractDataset.java|/source/org/jfree/data/general/Dataset.java|/source/org/jfree/data/general/DatasetChangeListener.java|/tests/org/jfree/chart/plot/junit/MultiplePiePlotTests.java
P4,3,lang10,control,N,25.22,17,4,/src/main/java/org/apache/commons/lang3/time/DateParser.java|/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java|/src/main/java/org/apache/commons/lang3/time/FastDateParser.java|/src/test/java/org/apache/commons/lang3/time/FastDateParserTest.java
P5,1,math63,control,N,19.5267,3,7,/src/main/java/org/apache/commons/math/ArgumentOutsideDomainException.java|/src/main/java/org/apache/commons/math/ConvergenceException.java|/src/main/java/org/apache/commons/math/MathException.java|/src/main/java/org/apache/commons/math/util/MathUtils.java|/src/test/java/org/apache/commons/math/ArgumentOutsideDomainExceptionTest.java|/src/test/java/org/apache/commons/math/MathExceptionTest.java|/src/test/java/org/apache/commons/math/util/MathUtilsTest.java
P5,2,lang10,overfitting,N,15.6167,3,4,/src/main/java/org/apache/commons/lang3/BitField.java|/src/main/java/org/apache/commons/lang3/StringUtils.java|/src/main/java/org/apache/commons/lang3/time/FastDateParser.java|/src/test/java/org/apache/commons/lang3/time/FastDateParserTest.java
P5,3,math33,correct,Y,11.9917,1,5,/src/main/java/org/apache/commons/math3/optimization/linear/LinearObjectiveFunction.java|/src/main/java/org/apache/commons/math3/optimization/linear/LinearOptimizer.java|/src/main/java/org/apache/commons/math3/optimization/linear/SimplexSolver.java|/src/main/java/org/apache/commons/math3/optimization/linear/SimplexTableau.java|/src/test/java/org/apache/commons/math3/optimization/linear/SimplexSolverTest.java
P6,1,chart12,correct,Y,14.89,27,9,/source/org/jfree/chart/plot/MultiplePiePlot.java|/source/org/jfree/chart/plot/Plot.java|/source/org/jfree/data/category/CategoryDataset.java|/source/org/jfree/data/general/AbstractDataset.java|/source/org/jfree/data/general/Dataset.java|/source/org/jfree/data/general/DatasetChangeEvent.java|/source/org/jfree/data/general/DatasetChangeListener.java|/tests/org/jfree/chart/plot/junit/CategoryPlotTests.java|/tests/org/jfree/chart/plot/junit/MultiplePiePlotTests.java
P6,2,lang10,control,N,25.1817,24,4,/src/main/java/org/apache/commons/lang3/time/DateParser.java|/src/main/java/org/apache/commons/lang3/time/FastDateFormat.java|/src/main/java/org/apache/commons/lang3/time/FastDateParser.java|/src/test/java/org/apache/commons/lang3/time/FastDateParserTest.java
P6,3,math63,overfitting,Y,9.4267,6,2,/src/main/java/org/apache/commons/math/util/MathUtils.java|/src/test/java/org/apache/commons/math/util/MathUtilsTest.java
