PID,task_no,condition,whole,early,mid,late,late_browser_dur,late_total_dur,late_any,span,n_fix,bug,correct
P10,1,overfitting,0.26645995685883833,0.0,0.18797688250594302,0.6780841419287108,3.527621687825521,5.202336214192709,1,25.099450032552085,5868,math50,N
P11,1,overfitting,0.07018009631480372,0.0,0.0,0.23242931879759704,0.2916644612630208,1.2548522827148438,1,5.744959216308594,1211,chart12,Y
P11,2,correct,0.0,0.0,0.0,0.0,0.0,5.483720418294271,0,22.126957499186197,4417,math33,Y
P11,3,control,0.02183299514859249,0.0,0.06414557765749934,0.0,0.0,5.272333186848958,0,25.176669519042967,5032,math50,N
P12,1,correct,0.1747751882512114,0.16318406394328852,0.27479519933525137,0.07748775023101263,0.18180465087890624,2.346237312825521,1,21.650022932942708,3836,math63,N
P12,2,control,0.0985536413932788,0.0,0.0,0.258350256366086,0.635969140625,2.461654768880208,1,12.48604629720052,2703,chart12,Y
P12,3,overfitting,0.02193620000699783,0.0,0.0,0.07360424800400345,0.24097100830078125,3.273873653157552,1,25.01903828531901,5057,lang10,N
P13,1,control,0.04700420530941785,0.0,0.15141591403375013,0.0,0.0,4.658583410644531,0,19.81237236735026,4702,chart12,Y
P13,2,correct,0.11310075539529704,0.0,0.0,0.4083543441530857,0.7806886515299479,1.9117922037760418,1,10.192156701660156,2225,math50,Y
P13,3,overfitting,0.07880083812850884,0.01726084456215386,0.00803923165994572,0.23023925045771482,1.0672160481770834,4.635248099772135,1,25.179980863444012,5685,lang10,N
P14,1,correct,0.03158461923793982,0.021329986576630558,0.0,0.07388300754782343,0.0576386474609375,0.7801340169270833,1,3.597334501139323,875,chart12,Y
P14,2,overfitting,0.03552835064161421,0.01507162830293251,0.04822790639702159,0.043046118854013535,0.09624944254557291,2.2359609903971354,1,9.824105733235678,2458,math63,N
P14,3,control,0.217008047122863,0.17520529186384579,0.17350534588485156,0.30009142391536026,1.7774924397786458,5.9231697347005206,1,25.218759566243488,6436,math33,N
P15,1,overfitting,0.002467792897153714,0.0015151512070718746,0.0,0.006153469420489001,0.027222102864583334,4.423862540690104,1,25.226368103027344,5217,chart12,N
P15,2,control,0.02072265373540416,0.020053202658806515,0.03850156839184882,0.0,0.0,4.1515032633463544,0,25.138464400227864,5374,math50,N
P15,3,correct,0.16318894374171158,0.12547458010507523,0.15291834873707424,0.20719105134005042,1.2333263509114583,5.952604337565104,1,25.20263181966146,5343,math33,N
P16,1,overfitting,0.0418242464203463,0.0,0.12469813448471108,0.0,0.0,1.2317962524414063,0,5.2278788330078125,1210,math63,Y
P16,2,correct,0.0,0.0,0.0,0.0,0.0,2.8101197835286458,0,11.556730432128907,2785,chart12,Y
P16,3,control,0.0338106503086409,0.051034552002677924,0.0,0.05271578512453934,0.28347017415364584,5.377330025227865,1,25.14221199951172,5797,math50,N
P17,1,correct,0.01187822100449586,0.0,0.0,0.0417823089326435,0.15680464680989584,3.752895682779948,1,25.17983654785156,4691,math33,Y
P17,2,overfitting,0.009308282022127813,0.024272344148102365,0.0,0.0,0.0,3.9394233561197916,0,25.1474907023112,5245,lang10,N
P17,3,control,0.0,0.0,0.0,0.0,0.0,0.9198556884765625,0,5.238717199707032,1057,math63,N
P18,1,correct,0.017055301991661765,0.0,0.05189930462464624,0.0,0.0,3.2006775634765625,0,14.907970068359376,3341,math33,Y
P18,2,control,0.0,0.0,0.0,0.0,0.0,4.698309134928385,0,22.818210652669272,4947,chart12,Y
P18,3,overfitting,0.08118366763544249,0.0,0.0,0.267213792603134,0.3977751627604167,1.4886026611328125,1,7.113712251790364,1639,lang10,N
