PID,task_no,bug,condition,correct,duration_min,has_gaze,has_ide,is_p0
P1,1,math33,control,N,25.1567,True,True,False
P1,2,math50,correct,N,18.0467,False,True,False
P1,3,math63,overfitting,N,1.6683,False,True,False
P2,1,math50,control,N,25.4133,True,True,False
P2,2,chart12,overfitting,N,25.38,True,True,False
P2,3,lang10,correct,N,20.165,True,True,False
P3,1,chart12,overfitting,Y,23.86,True,True,False
P3,2,math50,control,N,25.1883,True,True,False
P3,3,math63,correct,Y,18.9917,True,True,False
P4,1,math63,overfitting,Y,15.5267,True,True,False
P4,2,chart12,correct,Y,13.1083,True,True,False
P4,3,lang10,control,N,25.22,True,True,False
P5,1,math63,control,N,19.5267,True,True,False
P5,2,lang10,overfitting,N,15.6167,True,True,False
P5,3,math33,correct,Y,11.9917,True,True,False
P6,1,chart12,correct,Y,14.89,True,True,False
P6,2,lang10,control,N,25.1817,True,True,False
P6,3,math63,overfitting,Y,9.4267,True,True,False
P7,1,math50,control,N,25.2383,True,True,False
P7,2,math33,correct,N,25.2883,True,True,False
P7,3,chart12,overfitting,Y,4.4567,False,True,False
P8,1,lang10,correct,Y,25.245,True,True,False
P8,2,math50,overfitting,N,25.2883,True,True,False
P8,3,math63,control,Y,25.2717,True,True,False
P9,1,math33,control,N,25.2517,True,True,False
P9,2,math50,overfitting,N,20.7283,True,True,False
P9,3,chart12,correct,Y,5.6967,True,True,False
P10,1,math50,overfitting,N,25.145,True,True,False
P10,2,lang10,control,N,25.18,False,True,False
P10,3,chart12,correct,Y,3.26,False,True,False
P11,1,chart12,overfitting,Y,5.7917,True,True,False
P11,2,math33,correct,Y,22.1883,True,True,False
P11,3,math50,control,N,25.25,True,True,False
P12,1,math63,correct,N,21.725,True,True,False
P12,2,chart12,control,Y,12.5367,True,True,False
P12,3,lang10,overfitting,N,25.2533,True,True,False
P13,1,chart12,control,Y,19.87,True,True,False
P13,2,math50,correct,Y,10.2417,True,True,False
P13,3,lang10,overfitting,N,25.245,True,True,False
P14,1,chart12,correct,Y,3.6483,True,True,False
P14,2,math63,overfitting,N,9.8767,True,True,False
P14,3,math33,control,N,25.2767,True,True,False
P15,1,chart12,overfitting,N,25.29,True,True,False
P15,2,math50,control,N,25.2,True,True,False
P15,3,math33,correct,N,25.3183,True,True,False
P16,1,math63,overfitting,Y,5.28,True,True,False
P16,2,chart12,correct,Y,11.6083,True,True,False
P16,3,math50,control,N,25.2017,True,True,False
P17,1,math33,correct,Y,25.2433,True,True,False
P17,2,lang10,overfitting,N,25.2167,True,True,False
P17,3,math63,control,N,5.2967,True,True,False
P18,1,math33,correct,Y,14.9817,True,True,False
P18,2,chart12,control,Y,22.8967,True,True,False
P18,3,lang10,overfitting,N,7.1683,True,True,False
P19,1,math63,control,N,25.24,True,True,False
P19,2,math50,correct,Y,8.795,True,True,False
P19,3,math33,overfitting,N,25.1717,True,True,False
P20,1,math33,control,N,25.1833,True,True,False
P20,2,chart12,overfitting,N,25.2317,True,True,False
P20,3,math63,correct,N,21.7317,True,True,False
P21,1,chart12,overfitting,Y,17.2,True,True,False
P21,2,math50,control,N,25.2683,True,True,False
P21,3,lang10,correct,Y,8.395,True,True,False
P22,1,math50,overfitting,N,19.9167,True,True,False
P22,2,math63,correct,Y,5.1467,True,True,False
P22,3,chart12,control,N,25.1783,True,True,False
P23,1,math50,correct,Y,15.2367,True,True,False
P23,2,lang10,overfitting,N,23.2283,True,True,False
P23,3,chart12,control,N,25.265,True,True,False
P24,1,lang10,correct,Y,25.19,True,True,False
P24,2,chart12,control,Y,7.3267,True,True,False
P24,3,math33,overfitting,Y,25.165,True,True,False
P25,1,lang10,control,N,25.155,True,True,False
P25,2,math50,control,N,25.1967,True,True,False
P25,3,math33,overfitting,N,6.505,True,True,False
P26,1,math63,control,N,25.21,True,True,False
P26,2,math33,overfitting,N,25.2483,True,True,False
P26,3,chart12,correct,Y,25.1233,True,True,False
P27,1,chart12,overfitting,N,25.2633,True,True,False
P27,2,math33,control,N,25.2583,True,True,False
P27,3,lang10,correct,Y,25.3,True,True,False
P28,1,lang10,overfitting,N,11.0333,True,True,False
P28,2,chart12,correct,Y,9.02,True,True,False
P28,3,math63,control,N,25.1933,False,True,False
P29,1,math50,correct,Y,25.21,True,True,False
P29,2,math33,overfitting,N,25.1667,True,True,False
P29,3,math63,control,N,20.6667,True,True,False
P30,1,chart12,correct,Y,4.8583,True,True,False
P30,2,lang10,control,N,25.195,True,True,False
P30,3,math50,overfitting,N,6.5217,True,True,False
P31,1,chart12,control,Y,5.9083,True,True,False
P31,2,math33,correct,Y,18.9733,True,True,False
P31,3,math50,overfitting,N,25.2283,True,True,False
P32,1,math50,control,Y,25.2233,True,True,False
P32,2,lang10,overfitting,N,25.2617,False,True,False
P32,3,math63,correct,Y,7.5233,True,True,False
P33,1,chart12,overfitting,N,8.875,True,True,False
P33,2,lang10,control,N,25.1933,True,True,False
P33,3,math63,correct,Y,19.6783,True,True,False
P34,1,math63,overfitting,Y,18.615,True,True,False
P34,2,chart12,correct,Y,9.23,True,True,False
P34,3,math33,control,N,25.1967,True,True,False
P35,1,lang10,correct,Y,21.0133,True,True,False
P35,2,math33,overfitting,N,17.3033,True,True,False
P35,3,math50,control,N,25.22,True,True,False
P36,1,math63,correct,N,22.985,True,True,False
P36,2,chart12,control,Y,5.4517,True,True,False
P36,3,math33,overfitting,N,25.185,True,True,False
P37,1,chart12,control,Y,19.865,True,True,False
P37,2,lang10,correct,N,25.1983,True,True,False
P37,3,math50,overfitting,N,25.1867,True,True,False
P1_0,1,math33,control,N,25.4117,False,True,True
P1_0,2,math50,correct,Y,21.31,False,True,True
P1_0,3,math63,overfitting,Y,4.7483,False,True,True
P2_0,2,chart12,overfitting,Y,11.1433,False,True,True
P2_0,3,lang10,correct,Y,21.3467,False,True,True
P3_0,1,chart12,overfitting,Y,3.6167,False,True,True
P3_0,2,math50,control,N,25.2517,False,True,True
P3_0,3,math63,correct,Y,8.5533,False,True,True
P4_0,1,math63,overfitting,N,25.4417,False,True,True
P4_0,3,lang10,control,N,25.305,False,True,True
P5_0,1,math63,correct,Y,11.665,False,True,True
P5_0,2,lang10,overfitting,N,16.7867,False,True,True
P5_0,3,math33,control,N,25.3367,False,True,True
P6_0,1,chart12,correct,Y,6.43,False,True,True
P6_0,2,lang10,control,N,25.75,False,False,True
P6_0,3,math63,overfitting,N,4.8467,False,True,True
