StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q24,Q1_10,Q2_1,Q3_1,Q4_1,Q5_1,Q21,Q44_10,Q45_1,Q46_1,Q47_1,Q48_1,Q23,Q50_10,Q51_1,Q52_1,Q53_1,Q54_1,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q2_6,Q2_7,Q2_8,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6,Q3_7,Q3_8,Q3_9,Q3_10
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Q_RecaptchaScore,Please enter your Participant ID:,Mental Demand: How much mental and perceptual activity was required? - Rate from 0-20:,Temporal Demand: How much time pressure did you feel due to the rate or pace at which the tasks or task elements occurred? - Rate from 0-20:,Performance: How successful do you think you were in accomplishing the goals of the task set by the experimenter (or yourself)? - Rate from 0-20:,Effort: How hard did you have to work (mentally and physically) to accomplish your level of performance? - Rate from 0-20:,Frustration Level: How frustrated did you feel during the task? - Rate from 0-20:,"Did you find this task to be easier, harder, or the same difficulty as the previous task?",Mental Demand: How much mental and perceptual activity was required? - Rate from 0-20:,Temporal Demand: How much time pressure did you feel due to the rate or pace at which the tasks or task elements occurred? - Rate from 0-20:,Performance: How successful do you think you were in accomplishing the goals of the task set by the experimenter (or yourself)? - Rate from 0-20:,Effort: How hard did you have to work (mentally and physically) to accomplish your level of performance? - Rate from 0-20:,Frustration Level: How frustrated did you feel during the task? - Rate from 0-20:,"Did you find this task to be easier, harder, or the same difficulty as the previous task?",Mental Demand: How much mental and perceptual activity was required? - Rate from 0-20:,Temporal Demand: How much time pressure did you feel due to the rate or pace at which the tasks or task elements occurred? - Rate from 0-20:,Performance: How successful do you think you were in accomplishing the goals of the task set by the experimenter (or yourself)? - Rate from 0-20:,Effort: How hard did you have to work (mentally and physically) to accomplish your level of performance? - Rate from 0-20:,Frustration Level: How frustrated did you feel during the task? - Rate from 0-20:,Please rate your level of agreement with the following statements: - I will be able to achieve most of the goals that I have set for myself.,"Please rate your level of agreement with the following statements: - When facing difficult tasks, I am certain that I will accomplish them.","Please rate your level of agreement with the following statements: - In general, I think that I can obtain outcomes that are important to me.",Please rate your level of agreement with the following statements: - I believe I can succeed at most any endeavor to which I set my mind.,Please rate your level of agreement with the following statements: - I will be able to successfully overcome many challenges.,Please rate your level of agreement with the following statements: - I am confident that I can perform effectively on many different tasks.,"Please rate your level of agreement with the following statements: - Compared to other people, I can do most tasks very well.","Please rate your level of agreement with the following statements: - Even when things are tough, I can perform quite well.",I see myself as someone who... - ...is reserved.,I see myself as someone who... - ...is generally trusting.,I see myself as someone who... - ...tends to be lazy,"I see myself as someone who... - ...is relaxed, handles stress well.",I see myself as someone who... - ...has few artistic interests.,"I see myself as someone who... - ...is outgoing, sociable.",I see myself as someone who... - ...tends to find fault with others.,I see myself as someone who... - ...does a thorough job.,I see myself as someone who... - ...gets nervous easily.,I see myself as someone who... - ...has an active imagination.
"{""ImportId"":""startDate"",""timeZone"":""America/New_York""}","{""ImportId"":""endDate"",""timeZone"":""America/New_York""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/New_York""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""Q_RecaptchaScore""}","{""ImportId"":""QID62_TEXT""}","{""ImportId"":""QID1_10""}","{""ImportId"":""QID2_1""}","{""ImportId"":""QID3_1""}","{""ImportId"":""QID4_1""}","{""ImportId"":""QID5_1""}","{""ImportId"":""QID56""}","{""ImportId"":""QID44_10""}","{""ImportId"":""QID45_1""}","{""ImportId"":""QID46_1""}","{""ImportId"":""QID47_1""}","{""ImportId"":""QID48_1""}","{""ImportId"":""QID58""}","{""ImportId"":""QID50_10""}","{""ImportId"":""QID51_1""}","{""ImportId"":""QID52_1""}","{""ImportId"":""QID53_1""}","{""ImportId"":""QID54_1""}","{""ImportId"":""QID60_1""}","{""ImportId"":""QID60_2""}","{""ImportId"":""QID60_3""}","{""ImportId"":""QID60_4""}","{""ImportId"":""QID60_5""}","{""ImportId"":""QID60_6""}","{""ImportId"":""QID60_7""}","{""ImportId"":""QID60_8""}","{""ImportId"":""QID61_1""}","{""ImportId"":""QID61_2""}","{""ImportId"":""QID61_3""}","{""ImportId"":""QID61_4""}","{""ImportId"":""QID61_5""}","{""ImportId"":""QID61_6""}","{""ImportId"":""QID61_7""}","{""ImportId"":""QID61_8""}","{""ImportId"":""QID61_9""}","{""ImportId"":""QID61_10""}"
2025-02-19 13:07:56,2025-02-19 15:09:24,IP Address,128.2.149.112,29,7288,False,2025-02-26 15:09:25,R_1Pn328Z95FEfiGZ,,,,,40.4442,-79.9557,anonymous,EN,0.8999999761581421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-04-09 13:04:32,2025-04-09 14:57:47,IP Address,128.2.149.112,100,6794,True,2025-04-09 14:57:47,R_123I53vYdhxRDDW,,,,,40.4442,-79.9557,anonymous,EN,0.8999999761581421,P1,17,19,0,12,20,Easier,14,4,6,5,11,Easier,1,0,20,1,1,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree
2025-04-11 15:09:39,2025-04-11 17:34:36,IP Address,128.2.149.112,100,8697,True,2025-04-11 17:34:37,R_3EEjfvKAfclgoxo,,,,,40.4442,-79.9557,anonymous,EN,0.8999999761581421,P2,4,7,14,4,7,Easier,5,8,19,8,3,Harder,14,17,12,15,6,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly Disagree,Strongly agree,Somewhat agree,Somewhat agree
2025-04-12 13:06:24,2025-04-12 14:48:56,IP Address,128.2.149.112,100,6151,True,2025-04-12 14:48:56,R_7HHcgBiUkINtGSX,,,,,40.4442,-79.9557,anonymous,EN,0.8999999761581421,p3,6,4,13,2,1,Harder,14,10,4,10,6,Easier,4,4,18,4,,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly Disagree,Somewhat agree,Somewhat agree,Strongly Disagree,Neither agree nor disagree,Somewhat agree
2025-04-12 15:02:53,2025-04-12 17:28:19,IP Address,128.2.149.112,100,8725,True,2025-04-12 17:28:19,R_7liU1UU1LKGBu2m,,,,,40.4442,-79.9557,anonymous,EN,0.8999999761581421,P4,8,8,12,10,6,Easier,8,6,17,6,0,Harder,16,12,4,16,8,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat disagree,Strongly Disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Strongly agree
2025-04-13 15:46:01,2025-04-13 17:56:22,IP Address,128.2.149.112,100,7821,True,2025-04-13 17:56:23,R_5Cfvp0VEbXCohJi,,,,,40.4442,-79.9557,anonymous,EN,0.8999999761581421,P5,5,5,14,10,4,Harder,16,6,8,16,3,The same difficulty,16,14,3,12,14,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree
2025-04-16 15:24:02,2025-04-16 17:22:05,IP Address,128.2.149.112,100,7082,True,2025-04-16 17:22:05,R_3pgJJuZNM7e7NmN,,,,,40.4442,-79.9557,anonymous,EN,0.8999999761581421,P6,14,2,16,6,,Harder,18,8,,16,16,Easier,14,6,16,6,2,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat disagree
2025-11-25 08:57:17,2025-11-25 10:27:02,IP Address,128.2.149.112,100,5384,True,2025-11-25 10:27:02,R_50YlNCGpVIgHQgf,,,,,40.4442,-79.9557,anonymous,EN,0.8999999761581421,P1,14,20,2,12,7,Easier,10,16,20,14,5,Easier,5,1,20,3,0,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat disagree,Strongly agree,Neither agree nor disagree,Strongly Disagree,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat agree
